iter	Passed	Remaining
0	167	166843
1	175	87365
2	181	60319
3	187	46731
4	193	38544
5	199	33023
6	205	29216
7	211	26234
8	219	24174
9	225	22370
10	232	20874
11	238	19669
12	245	18628
13	252	17789
14	260	17080
15	267	16454
16	273	15801
17	279	15258
18	288	14871
19	296	14516
20	304	14196
21	312	13892
22	318	13543
23	325	13228
24	332	12965
25	339	12709
26	346	12482
27	353	12283
28	360	12076
29	367	11894
30	374	11720
31	382	11574
32	389	11428
33	395	11249
34	402	11096
35	409	10969
36	416	10839
37	422	10699
38	430	10599
39	436	10487
40	443	10374
41	449	10261
42	456	10151
43	461	10037
44	467	9916
45	472	9794
46	477	9682
47	483	9586
48	490	9517
49	496	9432
50	502	9354
51	509	9286
52	516	9226
53	523	9169
54	531	9135
55	538	9078
56	545	9019
57	551	8963
58	558	8914
59	565	8861
60	572	8817
61	580	8786
62	587	8742
63	598	8758
64	609	8766
65	616	8720
66	623	8681
67	630	8641
68	637	8602
69	644	8559
70	650	8511
71	657	8478
72	664	8439
73	672	8412
74	678	8373
75	686	8342
76	693	8314
77	701	8295
78	709	8270
79	718	8260
80	726	8241
81	734	8221
82	741	8189
83	750	8180
84	759	8173
85	766	8148
86	774	8124
87	781	8094
88	788	8068
89	797	8061
90	804	8041
91	814	8038
92	824	8038
93	833	8037
94	844	8049
95	856	8061
96	866	8065
97	875	8057
98	884	8053
99	895	8063
100	909	8097
101	921	8114
102	935	8147
103	950	8185
104	959	8180
105	967	8160
106	977	8158
107	990	8182
108	1001	8184
109	1009	8166
110	1016	8142
111	1024	8125
112	1034	8120
113	1044	8116
114	1052	8098
115	1059	8073
116	1069	8071
117	1081	8085
118	1095	8112
119	1105	8109
120	1116	8111
121	1126	8110
122	1136	8104
123	1146	8098
124	1158	8106
125	1166	8091
126	1177	8096
127	1185	8077
128	1192	8052
129	1199	8024
130	1206	8006
131	1213	7977
132	1220	7954
133	1226	7926
134	1233	7902
135	1239	7876
136	1246	7850
137	1253	7829
138	1259	7803
139	1267	7787
140	1275	7770
141	1285	7769
142	1294	7756
143	1302	7740
144	1309	7722
145	1317	7708
146	1325	7690
147	1332	7672
148	1340	7655
149	1347	7634
150	1354	7614
151	1360	7591
152	1368	7573
153	1375	7553
154	1382	7535
155	1390	7521
156	1397	7501
157	1404	7484
158	1411	7463
159	1419	7454
160	1427	7438
161	1438	7442
162	1446	7425
163	1454	7414
164	1461	7396
165	1468	7377
166	1475	7358
167	1481	7336
168	1487	7314
169	1493	7292
170	1499	7269
171	1506	7250
172	1512	7230
173	1518	7210
174	1525	7191
175	1531	7172
176	1538	7153
177	1544	7133
178	1551	7117
179	1558	7100
180	1565	7082
181	1571	7064
182	1578	7047
183	1586	7035
184	1593	7021
185	1601	7010
186	1608	6993
187	1615	6978
188	1622	6963
189	1630	6951
190	1637	6937
191	1645	6924
192	1652	6908
193	1658	6889
194	1664	6871
195	1671	6854
196	1677	6838
197	1685	6825
198	1691	6807
199	1697	6789
200	1705	6778
201	1711	6760
202	1719	6749
203	1727	6738
204	1735	6730
205	1742	6716
206	1751	6708
207	1757	6692
208	1765	6681
209	1773	6669
210	1781	6662
211	1791	6660
212	1799	6647
213	1806	6635
214	1815	6629
215	1825	6625
216	1832	6611
217	1839	6597
218	1846	6585
219	1882	6675
220	1897	6689
221	1915	6712
